Customer ID,Gender,Age,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,-1.1716017338105662,0,1,0,-1.2802480369298874,0,1,0,2,0,0,0,0,1,-1.1616939352451685,-0.9941940877241977,0,False,False,False,False,False,True,False
5575-GNVDE,1,-1.0320478447910544,0,0,0,0.06430268518835193,1,1,2,0,2,0,0,0,0,-0.2608779199297493,-0.17373981825040724,0,False,False,True,False,False,False,True
3668-QPYBK,1,-0.8924939557715426,0,0,0,-1.2395040756535771,1,1,2,2,0,0,0,0,1,-0.3639232943754246,-0.9596491092068434,1,False,False,False,False,False,False,True
7795-CFOCW,1,-0.7529400667520307,0,0,0,0.512486259227765,0,1,2,0,2,2,0,0,0,-0.747850415293989,-0.19524770717404732,0,False,False,True,False,False,False,False
9237-HQITU,0,-0.6133861777325188,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,1,0.19617817640187488,-0.94045745447498,1,True,False,False,False,False,True,False
9305-CDSKC,0,-0.473832288713007,0,0,0,-0.9950403079957154,1,2,0,0,2,0,2,2,1,1.1584890119510036,-0.6453692184426381,1,True,False,False,False,False,True,False
1452-KIOVK,1,-0.3342783996934951,0,0,1,-0.42462485012737144,1,2,0,2,0,0,2,0,1,0.8078023344020117,-0.14731268909089865,0,True,False,False,False,True,False,False
6713-OKOMC,0,-0.19472451067398325,0,0,0,-0.9135523854430948,0,1,2,0,0,0,0,0,0,-1.1650179795821258,-0.8741690378436584,0,False,False,False,False,False,False,True
7892-POOKP,0,-0.055170621654471404,0,1,0,-0.18016108246950976,1,2,0,0,2,2,2,2,1,1.3296772953043026,0.33651554451135574,1,True,False,False,False,False,True,False
6388-TABGU,1,0.08438326736504045,0,0,1,1.2051336009250397,1,0,2,2,0,0,0,0,0,-0.28747027462540753,0.5314762853391823,0,False,False,True,False,False,False,False
9763-GRSKD,1,0.2239371563845523,0,1,1,-0.791320501614164,1,0,2,0,0,0,0,0,1,-0.4935610235167579,-0.7481879571842651,0,False,False,False,False,False,False,True
