Customer ID,Gender,Age,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Contract,Churn
7590-VHVEG,Female,22,0,Yes,No,1,No,No ,DSL,No,Yes,No,No,No,No,Yes,Electronic check,29.85,29.85,Month-to-month,No
5575-GNVDE,Male,23,0,No,No,34,Yes,No ,DSL,Yes,No,Yes,No,No,No,No,Mailed check,56.95,1889.5,One year,No
3668-QPYBK,Male,24,0,No,No,2,Yes,No ,DSL,Yes,Yes,No,No,No,No,Yes,Mailed check,53.85,108.15,Month-to-month,Yes
7795-CFOCW,Male,25,0,No,No,45,No,No ,DSL,Yes,No,Yes,Yes,No,No,No,Bank transfer (automatic),42.3,1840.75,One year,No
9237-HQITU,Female,26,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,70.7,151.65,Month-to-month,Yes
9305-CDSKC,Female,27,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,99.65,820.5,Month-to-month,Yes
1452-KIOVK,Male,28,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Credit card (automatic),89.1,1949.4,Month-to-month,No
6713-OKOMC,Female,29,0,No,No,10,No,No ,DSL,Yes,No,No,No,No,No,No,Mailed check,29.75,301.9,Month-to-month,No
7892-POOKP,Female,30,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,104.8,3046.05,Month-to-month,Yes
6388-TABGU,Male,31,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Bank transfer (automatic),56.15,3487.95,One year,No
9763-GRSKD,Male,32,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Mailed check,49.95,587.45,Month-to-month,No
7469-LKBCI,Male,33,0,No,No,16,Yes,No,No,No,No,No,No,No,No,No,Credit card (automatic),18.95,326.8,Two year,No
8091-TTVAX,Male,34,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,Credit card (automatic),100.35,5681.1,One year,No
0280-XJGEX,Male,35,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),103.7,5036.3,Month-to-month,Yes
5129-JLPIS,Male,36,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Electronic check,105.5,2686.05,Month-to-month,No
3655-SNQYZ,Female,37,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),113.25,7895.15,Two year,No
8191-XWSZG,Female,38,0,No,No,52,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,20.65,1022.95,One year,No
9959-WOFKT,Male,20,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Bank transfer (automatic),106.7,7382.25,Two year,No
4190-MFLUW,Female,21,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,No,Credit card (automatic),55.2,528.35,Month-to-month,Yes
4183-MYFRB,Female,22,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Electronic check,90.05,1862.9,Month-to-month,No
8779-QRDMV,Male,23,1,No,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Yes,Electronic check,39.65,39.65,Month-to-month,Yes
1680-VDCWW,Male,24,0,Yes,No,12,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Bank transfer (automatic),19.8,202.25,One year,No
1066-JKSGK,Male,25,0,No,No,1,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,20.15,20.15,Month-to-month,Yes
3638-WEABW,Female,26,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Yes,Credit card (automatic),59.9,3505.1,Two year,No
6322-HRPFA,Male,27,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,Credit card (automatic),59.6,2970.3,Month-to-month,No
6865-JZNKO,Female,28,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,Bank transfer (automatic),55.3,1530.6,Month-to-month,No
