Contract,Churn,Customer ID
Month-to-month,No,7590-VHVEG
One year,No,5575-GNVDE
Month-to-month,Yes,3668-QPYBK
One year,No,7795-CFOCW
Month-to-month,Yes,9237-HQITU
Month-to-month,Yes,9305-CDSKC
Month-to-month,No,1452-KIOVK
Month-to-month,No,6713-OKOMC
Month-to-month,Yes,7892-POOKP
One year,No,6388-TABGU
Month-to-month,No,9763-GRSKD
Two year,No,7469-LKBCI
One year,No,8091-TTVAX
Month-to-month,Yes,0280-XJGEX
Month-to-month,No,5129-JLPIS
Two year,No,3655-SNQYZ
One year,No,8191-XWSZG
Two year,No,9959-WOFKT
Month-to-month,Yes,4190-MFLUW
Month-to-month,No,4183-MYFRB
Month-to-month,Yes,8779-QRDMV
One year,No,1680-VDCWW
Month-to-month,Yes,1066-JKSGK
Two year,No,3638-WEABW
Month-to-month,No,6322-HRPFA
Month-to-month,No,6865-JZNKO
Month-to-month,Yes,6467-CHFZW
Month-to-month,Yes,8665-UTDHZ
Two year,No,5248-YGIJN
Month-to-month,Yes,8773-HHUOZ
Two year,No,3841-NFECX
Month-to-month,No,4929-XIHVW
One year,No,6827-IEAUQ
Month-to-month,No,7310-EGVHZ
Month-to-month,No,3413-BMNZE
Two year,No,6234-RAAPL
Month-to-month,Yes,6047-YHPVI
Month-to-month,No,6572-ADKRS
Month-to-month,Yes,5380-WJKOV
Month-to-month,Yes,8168-UQWWF
One year,No,8865-TNMNX
Two year,No,9489-DEDVP
One year,No,9867-JCZSP
Two year,No,4671-VJLCL
Month-to-month,No,4080-IIARD
Month-to-month,No,3714-NTNFO
Month-to-month,No,5948-UJZLF
Month-to-month,Yes,7760-OYPDY
Two year,No,7639-LIAYI
Two year,No,2954-PIBKO
Month-to-month,No,8012-SOUDQ
Month-to-month,Yes,9420-LOJKX
Month-to-month,No,6575-SUVOI
Month-to-month,Yes,7495-OOKFY
One year,No,4667-QONEA
Month-to-month,Yes,1658-BYGOY
One year,No,8769-KKTPH
One year,No,5067-XJQFU
Two year,No,3957-SQXML
Two year,No,5954-BDFSG
Month-to-month,No,0434-CSFON
Month-to-month,No,1215-FIGMP
Two year,No,0526-SXDJP
One year,No,0557-ASKVU
Month-to-month,Yes,5698-BQJOH
Month-to-month,No,5122-CYFXA
One year,No,8627-ZYGSZ
Two year,No,3410-YOQBQ
Two year,No,3170-NMYVV
Month-to-month,No,7410-OIEDU
Month-to-month,No,2273-QCKXA
One year,No,0731-EBJQB
Two year,No,1891-QRQSA
Two year,No,8028-PNXHQ
Month-to-month,No,5630-AHZIL
One year,No,2673-CXQEU
One year,No,6416-JNVRK
Month-to-month,No,5590-ZSKRV
Month-to-month,No,0191-ZHSKZ
One year,No,3887-PBQAO
Month-to-month,Yes,5919-TMRGD
Month-to-month,No,8108-UXRQN
Month-to-month,Yes,9191-MYQKX
Month-to-month,No,9919-YLNNG
Two year,No,0318-ZOPWS
Month-to-month,No,4445-ZJNMU
One year,No,4808-YNLEU
Two year,No,1862-QRWPE
Two year,No,2796-NNUFI
Month-to-month,No,3016-KSVCP
Month-to-month,No,4767-HZZHQ
Month-to-month,No,2424-WVHPL
Two year,No,7233-PAHHL
Month-to-month,No,6067-NGCEU
Two year,No,9848-JQJTX
Month-to-month,Yes,8637-XJIVR
One year,No,9803-FTJCG
Month-to-month,Yes,0278-YXOOG
Two year,No,3212-KXOCR
Month-to-month,Yes,4598-XLKNJ
Month-to-month,No,6380-ARCEH
Month-to-month,No,3679-XASPY
One year,No,7123-WQUHX
One year,No,5386-THSLQ
Two year,Yes,3192-NQECA
Month-to-month,No,6180-YBIQI
One year,No,6728-DKUCO
One year,No,9750-BOOHV
One year,No,8597-CWYHH
Two year,No,2848-YXSMW
Month-to-month,Yes,0486-HECZI
One year,No,4549-ZDQYY
Month-to-month,No,5712-AHQNN
Month-to-month,Yes,4846-WHAFZ
Two year,No,5256-SKJGO
Month-to-month,No,3071-VBYPO
Two year,No,9560-BBZXK
Month-to-month,Yes,5299-RULOA
Two year,No,8402-OOOHJ
Month-to-month,No,9445-ZUEQE
One year,No,1091-SOZGA
Month-to-month,No,2928-HLDBA
Month-to-month,Yes,0404-SWRVG
Month-to-month,No,6497-TILVL
Month-to-month,No,7219-TLZHO
Two year,No,4622-YNKIJ
Month-to-month,Yes,4412-YLTKF
Two year,No,6734-PSBAW
Month-to-month,No,3930-ZGWVE
One year,No,2639-UGMAZ
Month-to-month,No,2876-GZYZC
Month-to-month,Yes,6207-WIOLX
Two year,No,8587-XYZSF
Month-to-month,Yes,3091-FYHKI
Month-to-month,Yes,2372-HWUHI
Two year,No,7799-LGRDP
Month-to-month,No,7850-VWJUU
Two year,No,3774-VBNXY
Two year,No,6217-KDYWC
Month-to-month,Yes,0390-DCFDQ
Two year,No,3146-MSEGF
Month-to-month,Yes,4080-OGPJL
Two year,No,1095-WGNGG
One year,No,2636-SJDOU
Two year,No,1131-QQZEB
Two year,No,5716-EZXZN
One year,No,6837-BJYDQ
Month-to-month,Yes,2135-RXIHG
One year,No,6440-DKQGE
Month-to-month,No,3466-BYAVD
Month-to-month,No,3780-YVMFA
Month-to-month,Yes,3874-EQOEP
One year,No,1679-JRFBR
Two year,No,9073-ZZIAY
Month-to-month,No,3077-RSNTJ
Month-to-month,No,6551-GNYDG
Month-to-month,No,9167-APMXZ
One year,No,2749-CTKAJ
Two year,No,6371-NZYEG
Two year,No,7554-NEWDD
Month-to-month,No,8992-VONJD
Month-to-month,Yes,0867-MKZVY
Month-to-month,No,4482-EWFMI
Two year,No,4648-YPBTM
One year,No,2907-ILJBN
Two year,No,6345-FZOQH
Month-to-month,Yes,3376-BMGFE
Two year,No,5997-OPVFA
Month-to-month,Yes,3445-HXXGF
Month-to-month,No,1159-WFSGR
One year,No,7654-YWJUF
Month-to-month,Yes,1875-QIVME
Two year,No,6727-IOTLZ
One year,Yes,0691-JVSYA
One year,No,5918-VUKWP
Month-to-month,No,1744-JHKYS
Month-to-month,Yes,2656-FMOKZ
Month-to-month,Yes,2070-FNEXE
Month-to-month,No,5947-SGKCL
One year,No,3712-PKXZA
Month-to-month,Yes,6317-YPKDH
Month-to-month,No,6582-OIVSP
Month-to-month,Yes,9367-WXLCH
One year,No,5524-KHNJP
Month-to-month,Yes,1918-ZBFQJ
Month-to-month,Yes,1024-GUALD
Month-to-month,No,4827-USJHP
Month-to-month,No,8167-GJLRN
One year,No,0956-SYCWG
Month-to-month,No,8017-UVSZU
One year,No,7100-FQPRV
