Customer ID,Gender,Age
7590-VHVEG,Female,22
5575-GNVDE,Male,23
3668-QPYBK,Male,24
7795-CFOCW,Male,25
9237-HQITU,Female,26
9305-CDSKC,Female,27
1452-KIOVK,Male,28
6713-OKOMC,Female,29
7892-POOKP,Female,30
6388-TABGU,Male,31
9763-GRSKD,Male,32
7469-LKBCI,Male,33
8091-TTVAX,Male,34
0280-XJGEX,Male,35
5129-JLPIS,Male,36
3655-SNQYZ,Female,37
8191-XWSZG,Female,38
9959-WOFKT,Male,20
4190-MFLUW,Female,21
4183-MYFRB,Female,22
8779-QRDMV,Male,23
1680-VDCWW,Male,24
1066-JKSGK,Male,25
3638-WEABW,Female,26
6322-HRPFA,Male,27
6865-JZNKO,Female,28
6467-CHFZW,Male,29
8665-UTDHZ,Male,30
5248-YGIJN,Male,31
8773-HHUOZ,Female,32
3841-NFECX,Female,20
4929-XIHVW,Male,21
6827-IEAUQ,Female,22
7310-EGVHZ,Male,23
3413-BMNZE,Male,24
6234-RAAPL,Female,25
6047-YHPVI,Male,26
6572-ADKRS,Female,27
5380-WJKOV,Male,28
8168-UQWWF,Female,29
8865-TNMNX,Male,30
9489-DEDVP,Female,31
9867-JCZSP,Female,32
4671-VJLCL,Female,33
4080-IIARD,Female,34
3714-NTNFO,Female,35
5948-UJZLF,Male,36
7760-OYPDY,Female,37
7639-LIAYI,Male,38
2954-PIBKO,Female,39
8012-SOUDQ,Female,20
9420-LOJKX,Female,21
6575-SUVOI,Female,22
7495-OOKFY,Female,23
4667-QONEA,Female,24
1658-BYGOY,Male,25
8769-KKTPH,Female,26
5067-XJQFU,Male,27
3957-SQXML,Female,28
5954-BDFSG,Female,29
0434-CSFON,Female,30
1215-FIGMP,Male,31
0526-SXDJP,Male,32
0557-ASKVU,Female,33
5698-BQJOH,Female,34
5122-CYFXA,Female,35
8627-ZYGSZ,Male,20
3410-YOQBQ,Female,21
3170-NMYVV,Female,22
7410-OIEDU,Male,23
2273-QCKXA,Male,24
0731-EBJQB,Female,25
1891-QRQSA,Male,26
8028-PNXHQ,Male,27
5630-AHZIL,Female,28
2673-CXQEU,Female,29
6416-JNVRK,Female,30
5590-ZSKRV,Female,31
0191-ZHSKZ,Male,32
3887-PBQAO,Female,33
5919-TMRGD,Female,34
8108-UXRQN,Female,35
9191-MYQKX,Female,36
9919-YLNNG,Female,20
0318-ZOPWS,Female,22
4445-ZJNMU,Male,23
4808-YNLEU,Female,24
1862-QRWPE,Female,25
2796-NNUFI,Female,26
3016-KSVCP,Male,27
4767-HZZHQ,Male,28
2424-WVHPL,Male,29
7233-PAHHL,Male,30
6067-NGCEU,Female,31
9848-JQJTX,Male,32
8637-XJIVR,Female,33
9803-FTJCG,Male,34
0278-YXOOG,Male,35
3212-KXOCR,Male,36
4598-XLKNJ,Female,37
6380-ARCEH,Male,38
3679-XASPY,Female,20
7123-WQUHX,Male,21
5386-THSLQ,Female,22
3192-NQECA,Male,23
6180-YBIQI,Male,24
6728-DKUCO,Female,25
9750-BOOHV,Female,26
8597-CWYHH,Male,27
2848-YXSMW,Male,28
0486-HECZI,Male,29
4549-ZDQYY,Female,30
5712-AHQNN,Female,31
4846-WHAFZ,Female,32
5256-SKJGO,Female,33
3071-VBYPO,Male,34
9560-BBZXK,Female,35
5299-RULOA,Female,36
8402-OOOHJ,Female,37
9445-ZUEQE,Male,38
1091-SOZGA,Female,39
2928-HLDBA,Female,40
0404-SWRVG,Male,20
6497-TILVL,Female,21
7219-TLZHO,Female,22
4622-YNKIJ,Male,23
4412-YLTKF,Female,24
6734-PSBAW,Male,25
3930-ZGWVE,Male,26
2639-UGMAZ,Male,27
2876-GZYZC,Female,28
6207-WIOLX,Female,29
8587-XYZSF,Male,30
3091-FYHKI,Male,31
2372-HWUHI,Male,32
7799-LGRDP,Female,33
7850-VWJUU,Female,34
3774-VBNXY,Female,35
6217-KDYWC,Male,36
0390-DCFDQ,Female,20
3146-MSEGF,Female,21
4080-OGPJL,Female,22
1095-WGNGG,Female,23
2636-SJDOU,Male,24
1131-QQZEB,Male,25
5716-EZXZN,Female,26
6837-BJYDQ,Male,27
2135-RXIHG,Male,28
6440-DKQGE,Male,29
3466-BYAVD,Male,30
3780-YVMFA,Female,31
3874-EQOEP,Male,32
1679-JRFBR,Female,33
9073-ZZIAY,Male,34
3077-RSNTJ,Female,35
6551-GNYDG,Female,22
9167-APMXZ,Female,22
2749-CTKAJ,Male,22
6371-NZYEG,Male,22
7554-NEWDD,Male,23
8992-VONJD,Female,23
0867-MKZVY,Female,23
4482-EWFMI,Female,23
4648-YPBTM,Male,23
2907-ILJBN,Female,24
6345-FZOQH,Male,24
3376-BMGFE,Female,24
5997-OPVFA,Male,24
3445-HXXGF,Male,24
1159-WFSGR,Female,24
7654-YWJUF,Male,34
1875-QIVME,Female,34
6727-IOTLZ,Male,34
0691-JVSYA,Female,34
5918-VUKWP,Female,34
1744-JHKYS,Female,20
2656-FMOKZ,Female,21
2070-FNEXE,Female,22
