PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Customer ID
Yes,Electronic check,29.85,29.85,7590-VHVEG
No,Mailed check,56.95,1889.5,5575-GNVDE
Yes,Mailed check,53.85,108.15,3668-QPYBK
No,Bank transfer (automatic),42.3,1840.75,7795-CFOCW
Yes,Electronic check,70.7,151.65,9237-HQITU
Yes,Electronic check,99.65,820.5,9305-CDSKC
Yes,Credit card (automatic),89.1,1949.4,1452-KIOVK
No,Mailed check,29.75,301.9,6713-OKOMC
Yes,Electronic check,104.8,3046.05,7892-POOKP
No,Bank transfer (automatic),56.15,3487.95,6388-TABGU
Yes,Mailed check,49.95,587.45,9763-GRSKD
No,Credit card (automatic),18.95,326.8,7469-LKBCI
No,Credit card (automatic),100.35,5681.1,8091-TTVAX
Yes,Bank transfer (automatic),103.7,5036.3,0280-XJGEX
Yes,Electronic check,105.5,2686.05,5129-JLPIS
No,Credit card (automatic),113.25,7895.15,3655-SNQYZ
No,Mailed check,20.65,1022.95,8191-XWSZG
No,Bank transfer (automatic),106.7,7382.25,9959-WOFKT
No,Credit card (automatic),55.2,528.35,4190-MFLUW
Yes,Electronic check,90.05,1862.9,4183-MYFRB
Yes,Electronic check,39.65,39.65,8779-QRDMV
No,Bank transfer (automatic),19.8,202.25,1680-VDCWW
No,Mailed check,20.15,20.15,1066-JKSGK
Yes,Credit card (automatic),59.9,3505.1,3638-WEABW
No,Credit card (automatic),59.6,2970.3,6322-HRPFA
Yes,Bank transfer (automatic),55.3,1530.6,6865-JZNKO
Yes,Electronic check,99.35,4749.15,6467-CHFZW
No,Electronic check,30.2,30.2,8665-UTDHZ
Yes,Credit card (automatic),90.25,6369.45,5248-YGIJN
Yes,Mailed check,64.7,1093.1,8773-HHUOZ
Yes,Credit card (automatic),96.35,6766.95,3841-NFECX
Yes,Credit card (automatic),95.5,181.65,4929-XIHVW
No,Mailed check,66.15,1874.45,6827-IEAUQ
No,Bank transfer (automatic),20.2,20.2,7310-EGVHZ
No,Bank transfer (automatic),45.25,45.25,3413-BMNZE
No,Bank transfer (automatic),99.9,7251.7,6234-RAAPL
Yes,Electronic check,69.7,316.9,6047-YHPVI
Yes,Credit card (automatic),74.8,3548.3,6572-ADKRS
Yes,Electronic check,106.35,3549.25,5380-WJKOV
Yes,Bank transfer (automatic),97.85,1105.4,8168-UQWWF
No,Mailed check,49.55,475.7,8865-TNMNX
Yes,Credit card (automatic),69.2,4872.35,9489-DEDVP
No,Mailed check,20.75,418.25,9867-JCZSP
Yes,Credit card (automatic),79.85,4861.45,4671-VJLCL
Yes,Electronic check,76.2,981.45,4080-IIARD
Yes,Electronic check,84.5,3906.7,3714-NTNFO
No,Mailed check,49.25,97,5948-UJZLF
Yes,Electronic check,80.65,144.15,7760-OYPDY
Yes,Credit card (automatic),79.75,4217.8,7639-LIAYI
Yes,Credit card (automatic),64.15,4254.1,2954-PIBKO
Yes,Electronic check,90.25,3838.75,8012-SOUDQ
Yes,Credit card (automatic),99.1,1426.4,9420-LOJKX
Yes,Credit card (automatic),69.5,1752.65,6575-SUVOI
Yes,Credit card (automatic),80.65,633.3,7495-OOKFY
Yes,Credit card (automatic),74.85,4456.35,4667-QONEA
Yes,Electronic check,95.45,1752.55,1658-BYGOY
Yes,Credit card (automatic),99.65,6311.2,8769-KKTPH
Yes,Electronic check,108.45,7076.35,5067-XJQFU
No,Credit card (automatic),24.95,894.3,3957-SQXML
Yes,Credit card (automatic),107.5,7853.7,5954-BDFSG
Yes,Electronic check,100.5,4707.1,0434-CSFON
Yes,Bank transfer (automatic),89.9,5450.7,1215-FIGMP
No,Bank transfer (automatic),42.1,2962,0526-SXDJP
Yes,Credit card (automatic),54.4,957.1,0557-ASKVU
No,Electronic check,94.4,857.25,5698-BQJOH
Yes,Electronic check,75.3,244.1,5122-CYFXA
Yes,Electronic check,78.9,3650.35,8627-ZYGSZ
No,Mailed check,79.2,2497.2,3410-YOQBQ
No,Bank transfer (automatic),20.15,930.9,3170-NMYVV
Yes,Mailed check,79.85,887.35,7410-OIEDU
No,Mailed check,49.05,49.05,2273-QCKXA
Yes,Electronic check,20.4,1090.65,0731-EBJQB
Yes,Bank transfer (automatic),111.6,7099,1891-QRQSA
Yes,Bank transfer (automatic),24.25,1424.6,8028-PNXHQ
Yes,Bank transfer (automatic),64.5,177.4,5630-AHZIL
No,Electronic check,110.5,6139.5,2673-CXQEU
No,Credit card (automatic),55.65,2688.85,6416-JNVRK
No,Mailed check,54.65,482.25,5590-ZSKRV
Yes,Electronic check,74.75,2111.3,0191-ZHSKZ
Yes,Credit card (automatic),25.9,1216.6,3887-PBQAO
Yes,Electronic check,79.35,79.35,5919-TMRGD
No,Electronic check,50.55,565.35,8108-UXRQN
Yes,Bank transfer (automatic),75.15,496.9,9191-MYQKX
Yes,Bank transfer (automatic),103.8,4327.5,9919-YLNNG
Yes,Bank transfer (automatic),20.15,973.35,0318-ZOPWS
Yes,Credit card (automatic),99.3,918.75,4445-ZJNMU
Yes,Bank transfer (automatic),62.15,2215.45,4808-YNLEU
No,Bank transfer (automatic),20.65,1057,1862-QRWPE
Yes,Mailed check,19.95,927.1,2796-NNUFI
No,Mailed check,33.75,1009.25,3016-KSVCP
No,Bank transfer (automatic),82.05,2570.2,4767-HZZHQ
No,Electronic check,74.7,74.7,2424-WVHPL
Yes,Mailed check,84,5714.25,7233-PAHHL
Yes,Credit card (automatic),111.05,7107,6067-NGCEU
Yes,Bank transfer (automatic),100.9,7459.05,9848-JQJTX
Yes,Electronic check,78.95,927.35,8637-XJIVR
Yes,Credit card (automatic),66.85,4748.7,9803-FTJCG
No,Mailed check,21.05,113.85,0278-YXOOG
No,Bank transfer (automatic),21,1107.2,3212-KXOCR
Yes,Electronic check,98.5,2514.5,4598-XLKNJ
No,Mailed check,20.2,20.2,6380-ARCEH
No,Electronic check,19.45,19.45,3679-XASPY
No,Bank transfer (automatic),95,3605.6,7123-WQUHX
No,Bank transfer (automatic),45.55,3027.25,5386-THSLQ
Yes,Bank transfer (automatic),110,7611.85,3192-NQECA
No,Mailed check,24.3,100.2,6180-YBIQI
Yes,Electronic check,104.15,7303.05,6728-DKUCO
No,Mailed check,30.15,927.65,9750-BOOHV
No,Mailed check,94.35,3921.3,8597-CWYHH
No,Credit card (automatic),19.4,1363.25,2848-YXSMW
Yes,Electronic check,96.75,5238.9,0486-HECZI
No,Credit card (automatic),57.95,3042.25,4549-ZDQYY
Yes,Electronic check,91.65,3954.1,5712-AHQNN
Yes,Electronic check,76.5,2868.15,4846-WHAFZ
Yes,Electronic check,54.6,3423.5,5256-SKJGO
No,Electronic check,89.85,248.4,3071-VBYPO
No,Bank transfer (automatic),31.05,1126.35,9560-BBZXK
Yes,Electronic check,100.25,1064.65,5299-RULOA
No,Mailed check,20.65,835.15,8402-OOOHJ
Yes,Credit card (automatic),85.2,2151.6,9445-ZUEQE
Yes,Credit card (automatic),99.8,5515.45,1091-SOZGA
No,Mailed check,20.7,112.75,2928-HLDBA
Yes,Electronic check,74.4,229.55,0404-SWRVG
No,Mailed check,50.7,350.35,6497-TILVL
No,Mailed check,20.85,62.9,7219-TLZHO
Yes,Electronic check,88.95,3027.65,4622-YNKIJ
Yes,Electronic check,78.05,2135.5,4412-YLTKF
Yes,Bank transfer (automatic),23.55,1723.95,6734-PSBAW
No,Mailed check,19.75,19.75,3930-ZGWVE
Yes,Electronic check,56.45,3985.35,2639-UGMAZ
Yes,Electronic check,85.95,1215.65,2876-GZYZC
Yes,Credit card (automatic),58.6,1502.65,6207-WIOLX
No,Bank transfer (automatic),50.55,3260.1,8587-XYZSF
Yes,Electronic check,35.45,35.45,3091-FYHKI
No,Electronic check,44.35,81.25,2372-HWUHI
Yes,Credit card (automatic),25.7,1188.2,7799-LGRDP
Yes,Bank transfer (automatic),75,1778.5,7850-VWJUU
No,Mailed check,20.2,1277.75,3774-VBNXY
Yes,Mailed check,19.6,1170.55,6217-KDYWC
Yes,Mailed check,70.45,70.45,0390-DCFDQ
Yes,Credit card (automatic),88.05,6425.65,3146-MSEGF
No,Electronic check,71.15,563.65,4080-OGPJL
Yes,Bank transfer (automatic),101.05,5971.25,1095-WGNGG
Yes,Credit card (automatic),84.3,5289.05,2636-SJDOU
No,Bank transfer (automatic),23.95,1756.2,1131-QQZEB
Yes,Credit card (automatic),99.05,6416.7,5716-EZXZN
No,Mailed check,19.6,61.35,6837-BJYDQ
Yes,Electronic check,45.65,45.65,2135-RXIHG
No,Credit card (automatic),64.5,1929.95,6440-DKQGE
Yes,Mailed check,69.5,1071.4,3466-BYAVD
Yes,Electronic check,68.55,564.35,3780-YVMFA
No,Mailed check,95,655.5,3874-EQOEP
Yes,Credit card (automatic),108.15,7930.55,1679-JRFBR
No,Electronic check,86.1,5215.25,9073-ZZIAY
No,Mailed check,19.7,113.5,3077-RSNTJ
Yes,Bank transfer (automatic),80.9,1152.8,6551-GNYDG
Yes,Bank transfer (automatic),84.15,1821.95,9167-APMXZ
No,Mailed check,20.15,419.9,2749-CTKAJ
No,Mailed check,64.25,1024,6371-NZYEG
No,Bank transfer (automatic),25.7,251.6,7554-NEWDD
Yes,Electronic check,56,764.55,8992-VONJD
No,Electronic check,82.4,1592.35,0867-MKZVY
Yes,Electronic check,69.7,135.2,4482-EWFMI
Yes,Bank transfer (automatic),73.9,3958.25,4648-YPBTM
No,Mailed check,20.6,233.9,2907-ILJBN
No,Mailed check,19.9,1363.45,6345-FZOQH
Yes,Bank transfer (automatic),70.9,273,3376-BMGFE
Yes,Bank transfer (automatic),89.05,6254.45,5997-OPVFA
Yes,Electronic check,45.3,2651.2,3445-HXXGF
No,Electronic check,20.4,321.4,1159-WFSGR
Yes,Bank transfer (automatic),84.25,3539.25,7654-YWJUF
Yes,Electronic check,104.4,242.8,1875-QIVME
No,Mailed check,81.95,1181.75,6727-IOTLZ
Yes,Bank transfer (automatic),94.85,5000.2,0691-JVSYA
No,Bank transfer (automatic),20.55,654.55,5918-VUKWP
No,Electronic check,24.7,780.2,1744-JHKYS
Yes,Mailed check,74.45,1145.7,2656-FMOKZ
No,Bank transfer (automatic),76.45,503.6,2070-FNEXE
Yes,Bank transfer (automatic),105.35,1559.25,5947-SGKCL
Yes,Credit card (automatic),20.55,1252,3712-PKXZA
No,Bank transfer (automatic),29.95,29.95,6317-YPKDH
No,Mailed check,45.3,45.3,6582-OIVSP
No,Bank transfer (automatic),84.5,662.65,9367-WXLCH
No,Credit card (automatic),74.75,2453.3,5524-KHNJP
Yes,Electronic check,79.25,1111.65,1918-ZBFQJ
Yes,Electronic check,24.8,24.8,1024-GUALD
Yes,Mailed check,51.8,1023.85,4827-USJHP
No,Electronic check,30.4,82.15,8167-GJLRN
No,Electronic check,19.65,244.8,0956-SYCWG
No,Credit card (automatic),56.6,2379.1,8017-UVSZU
Yes,Credit card (automatic),71.9,3173.35,7100-FQPRV
Yes,Electronic check,91,531,2472-OVKUP
No,Bank transfer (automatic),19.75,1375.4,2984-RGEYA
No,Credit card (automatic),109.7,8129.3,9680-NIAUV
No,Credit card (automatic),19.3,1192.7,2146-EGVDT
Yes,Electronic check,96.55,1901.65,2604-IJPDU
Yes,Bank transfer (automatic),24.1,587.4,9178-JHUVJ
Yes,Electronic check,111.35,6519.75,6168-YBYNP
Yes,Bank transfer (automatic),112.25,8041.65,7255-SSFBC
No,Mailed check,20.75,20.75,3645-DEYGF
