PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Customer ID
No,No ,DSL,No,Yes,No,No,No,No,7590-VHVEG
Yes,No ,DSL,Yes,No,Yes,No,No,No,5575-GNVDE
Yes,No ,DSL,Yes,Yes,No,No,No,No,3668-QPYBK
No,No ,DSL,Yes,No,Yes,Yes,No,No,7795-CFOCW
Yes,No,Fiber optic,No,No,No,No,No,No,9237-HQITU
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,9305-CDSKC
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,1452-KIOVK
No,No ,DSL,Yes,No,No,No,No,No,6713-OKOMC
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7892-POOKP
Yes,No,DSL,Yes,Yes,No,No,No,No,6388-TABGU
Yes,No,DSL,Yes,No,No,No,No,No,9763-GRSKD
Yes,No,No,No,No,No,No,No,No,7469-LKBCI
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,8091-TTVAX
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0280-XJGEX
Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,5129-JLPIS
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3655-SNQYZ
Yes,No,No,No ,No ,No ,No ,No ,No ,8191-XWSZG
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,9959-WOFKT
Yes,No,DSL,No,No,Yes,Yes,No,No,4190-MFLUW
Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,4183-MYFRB
No,No,DSL,No,No,Yes,No,No,Yes,8779-QRDMV
Yes,No,No,No ,No ,No ,No ,No ,No ,1680-VDCWW
Yes,No,No,No ,No ,No ,No ,No ,No ,1066-JKSGK
Yes,Yes,DSL,No,Yes,No,Yes,No,No,3638-WEABW
Yes,No,DSL,Yes,Yes,No,Yes,No,No,6322-HRPFA
Yes,No,DSL,Yes,Yes,No,No,No,No,6865-JZNKO
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6467-CHFZW
No,No ,DSL,No,Yes,No,No,No,No,8665-UTDHZ
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,5248-YGIJN
Yes,No,DSL,No,No,No,No,Yes,Yes,8773-HHUOZ
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,3841-NFECX
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,4929-XIHVW
Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,6827-IEAUQ
Yes,No,No,No ,No ,No ,No ,No ,No ,7310-EGVHZ
Yes,No,DSL,No,No,No,No,No,No,3413-BMNZE
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,6234-RAAPL
Yes,No,Fiber optic,No,No,No,No,No,No,6047-YHPVI
Yes,No,Fiber optic,No,No,Yes,No,No,No,6572-ADKRS
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,5380-WJKOV
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,8168-UQWWF
Yes,No,DSL,No,Yes,No,No,No,No,8865-TNMNX
Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,9489-DEDVP
Yes,No,No,No ,No ,No ,No ,No ,No ,9867-JCZSP
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,4671-VJLCL
Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,4080-IIARD
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,3714-NTNFO
Yes,No,DSL,No,Yes,No,No,No,No,5948-UJZLF
Yes,No,Fiber optic,No,No,No,No,Yes,No,7760-OYPDY
Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,7639-LIAYI
Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,2954-PIBKO
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,8012-SOUDQ
Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,9420-LOJKX
Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,6575-SUVOI
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,7495-OOKFY
Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,4667-QONEA
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,1658-BYGOY
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,8769-KKTPH
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,5067-XJQFU
Yes,Yes,No,No,No,No,No,No,No,3957-SQXML
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,5954-BDFSG
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0434-CSFON
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,1215-FIGMP
No,No,DSL,Yes,Yes,Yes,No,No,No,0526-SXDJP
Yes,No,DSL,No,No,Yes,Yes,No,No,0557-ASKVU
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5698-BQJOH
Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,5122-CYFXA
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,8627-ZYGSZ
Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,3410-YOQBQ
Yes,No,No,No,No,No,No,No,No,3170-NMYVV
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,7410-OIEDU
Yes,No,DSL,No,No,No,Yes,No,No,2273-QCKXA
Yes,No,No,No,No,No,No,No,No,0731-EBJQB
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,1891-QRQSA
Yes,Yes,No,No,No,No,No,No,No,8028-PNXHQ
Yes,No,DSL,Yes,No,No,Yes,No,Yes,5630-AHZIL
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,2673-CXQEU
Yes,No,DSL,No,No,No,No,No,Yes,6416-JNVRK
Yes,No,DSL,Yes,Yes,No,No,No,No,5590-ZSKRV
Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,0191-ZHSKZ
Yes,Yes,No,No ,No ,No ,No ,No ,No ,3887-PBQAO
Yes,No,Fiber optic,No,No,No,No,Yes,No,5919-TMRGD
No,No,DSL,Yes,No,No,No,Yes,Yes,8108-UXRQN
Yes,No,Fiber optic,No,No,Yes,No,No,No,9191-MYQKX
Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,9919-YLNNG
Yes,No,No,No ,No ,No ,No ,No ,No ,0318-ZOPWS
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,4445-ZJNMU
Yes,No,DSL,Yes,No,No,No,Yes,No,4808-YNLEU
Yes,No,No,No,No,No,No,No,No,1862-QRWPE
Yes,No,No,No ,No ,No ,No ,No ,No ,2796-NNUFI
No,No,DSL,No,No,No,No,Yes,No,3016-KSVCP
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,4767-HZZHQ
Yes,No,Fiber optic,No,No,No,Yes,No,No,2424-WVHPL
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,7233-PAHHL
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,6067-NGCEU
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,9848-JQJTX
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,8637-XJIVR
Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,9803-FTJCG
Yes,No,No,No ,No ,No ,No ,No ,No ,0278-YXOOG
Yes,No,No,No ,No ,No ,No ,No ,No ,3212-KXOCR
Yes,No,Fiber optic,No ,Yes,Yes,No,Yes,Yes,4598-XLKNJ
Yes,No,No,No ,No ,No ,No ,No ,No ,6380-ARCEH
Yes,No,No,No ,No ,No ,No ,No ,No ,3679-XASPY
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,7123-WQUHX
No,No ,DSL,No,Yes,Yes,No,Yes,No,5386-THSLQ
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3192-NQECA
