SeniorCitizen,Partner,Dependents,Tenure,Customer ID
0,Yes,No,1,7590-VHVEG
0,No,No,34,5575-GNVDE
0,No,No,2,3668-QPYBK
0,No,No,45,7795-CFOCW
0,No,No,2,9237-HQITU
0,No,No,8,9305-CDSKC
0,No,Yes,22,1452-KIOVK
0,No,No,10,6713-OKOMC
0,Yes,No,28,7892-POOKP
0,No,Yes,62,6388-TABGU
0,Yes,Yes,13,9763-GRSKD
0,No,No,16,7469-LKBCI
0,Yes,No,58,8091-TTVAX
0,No,No,49,0280-XJGEX
0,No,No,25,5129-JLPIS
0,Yes,Yes,69,3655-SNQYZ
0,No,No,52,8191-XWSZG
0,No,Yes,71,9959-WOFKT
0,Yes,Yes,10,4190-MFLUW
0,No,No,21,4183-MYFRB
1,No,No,1,8779-QRDMV
0,Yes,No,12,1680-VDCWW
0,No,No,1,1066-JKSGK
0,Yes,No,58,3638-WEABW
0,Yes,Yes,49,6322-HRPFA
0,No,No,30,6865-JZNKO
0,Yes,Yes,47,6467-CHFZW
0,Yes,Yes,1,8665-UTDHZ
0,Yes,No,72,5248-YGIJN
0,No,Yes,17,8773-HHUOZ
1,Yes,No,71,3841-NFECX
1,Yes,No,2,4929-XIHVW
0,Yes,Yes,27,6827-IEAUQ
0,No,No,1,7310-EGVHZ
1,No,No,1,3413-BMNZE
0,Yes,Yes,72,6234-RAAPL
0,No,No,5,6047-YHPVI
0,No,No,46,6572-ADKRS
0,No,No,34,5380-WJKOV
0,No,No,11,8168-UQWWF
0,Yes,Yes,10,8865-TNMNX
0,Yes,Yes,70,9489-DEDVP
0,Yes,Yes,17,9867-JCZSP
0,No,No,63,4671-VJLCL
0,Yes,No,13,4080-IIARD
0,No,No,49,3714-NTNFO
0,No,No,2,5948-UJZLF
0,No,No,2,7760-OYPDY
0,No,No,52,7639-LIAYI
0,Yes,Yes,69,2954-PIBKO
1,No,No,43,8012-SOUDQ
0,No,No,15,9420-LOJKX
1,Yes,No,25,6575-SUVOI
1,Yes,No,8,7495-OOKFY
1,Yes,Yes,60,4667-QONEA
1,No,No,18,1658-BYGOY
0,Yes,Yes,63,8769-KKTPH
1,Yes,Yes,66,5067-XJQFU
0,Yes,Yes,34,3957-SQXML
0,No,No,72,5954-BDFSG
0,Yes,No,47,0434-CSFON
0,No,No,60,1215-FIGMP
0,Yes,No,72,0526-SXDJP
0,Yes,Yes,18,0557-ASKVU
0,No,No,9,5698-BQJOH
0,No,No,3,5122-CYFXA
0,Yes,No,47,8627-ZYGSZ
0,No,No,31,3410-YOQBQ
0,Yes,Yes,50,3170-NMYVV
0,No,No,10,7410-OIEDU
0,No,No,1,2273-QCKXA
0,Yes,Yes,52,0731-EBJQB
1,Yes,Yes,64,1891-QRQSA
0,Yes,Yes,62,8028-PNXHQ
0,No,Yes,3,5630-AHZIL
1,No,No,56,2673-CXQEU
0,No,No,46,6416-JNVRK
0,Yes,Yes,8,5590-ZSKRV
1,No,No,30,0191-ZHSKZ
0,Yes,Yes,45,3887-PBQAO
0,No,Yes,1,5919-TMRGD
0,Yes,Yes,11,8108-UXRQN
0,Yes,No,7,9191-MYQKX
0,No,No,42,9919-YLNNG
0,Yes,No,49,0318-ZOPWS
0,No,No,9,4445-ZJNMU
0,Yes,No,35,4808-YNLEU
0,Yes,Yes,48,1862-QRWPE
0,Yes,Yes,46,2796-NNUFI
0,Yes,No,29,3016-KSVCP
0,Yes,Yes,30,4767-HZZHQ
1,No,No,1,2424-WVHPL
0,Yes,Yes,66,7233-PAHHL
0,No,No,65,6067-NGCEU
0,No,No,72,9848-JQJTX
0,No,No,12,8637-XJIVR
0,Yes,Yes,71,9803-FTJCG
0,No,No,5,0278-YXOOG
0,No,No,52,3212-KXOCR
1,Yes,No,25,4598-XLKNJ
0,No,No,1,6380-ARCEH
0,Yes,Yes,1,3679-XASPY
0,No,No,38,7123-WQUHX
1,Yes,No,66,5386-THSLQ
0,Yes,No,68,3192-NQECA
0,No,No,5,6180-YBIQI
0,Yes,Yes,72,6728-DKUCO
0,No,No,32,9750-BOOHV
0,No,No,43,8597-CWYHH
0,Yes,Yes,72,2848-YXSMW
0,Yes,No,55,0486-HECZI
0,No,No,52,4549-ZDQYY
0,No,No,43,5712-AHQNN
1,Yes,No,37,4846-WHAFZ
0,Yes,Yes,64,5256-SKJGO
0,Yes,Yes,3,3071-VBYPO
0,No,No,36,9560-BBZXK
0,Yes,Yes,10,5299-RULOA
0,No,No,41,8402-OOOHJ
0,Yes,Yes,27,9445-ZUEQE
0,Yes,Yes,56,1091-SOZGA
0,No,No,6,2928-HLDBA
0,No,No,3,0404-SWRVG
0,Yes,Yes,7,6497-TILVL
0,Yes,Yes,4,7219-TLZHO
0,No,No,33,4622-YNKIJ
1,No,No,27,4412-YLTKF
0,Yes,No,72,6734-PSBAW
0,No,No,1,3930-ZGWVE
1,No,No,71,2639-UGMAZ
0,No,No,13,2876-GZYZC
0,Yes,Yes,25,6207-WIOLX
0,No,No,67,8587-XYZSF
0,No,No,1,3091-FYHKI
